"","customerid","gender","seniorcitizen","partner","dependents","tenure","phoneservice","multiplelines","internetservice","onlinesecurity","onlinebackup","deviceprotection","techsupport","streamingtv","streamingmovies","contract","paperlessbilling","paymentmethod","monthlycharges","totalcharges","churn","status"
"271","4385-GZQXV","Female",1,"No","No",16,"Yes","No","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",94.45,1511.2,"Yes",1
"272","7633-MVPUY","Male",0,"Yes","No",57,"Yes","No","DSL","Yes","Yes","No","Yes","No","No","Two year","Yes","Electronic check",59.75,3450.15,"No",0
"273","6366-ZGQGL","Male",0,"No","No",1,"No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",24.8,24.8,"Yes",1
"274","4716-HHKQH","Male",1,"Yes","No",20,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","Month-to-month","No","Electronic check",107.05,2172.05,"No",0
"276","6432-TWQLB","Male",0,"Yes","No",5,"Yes","Yes","Fiber optic","No","Yes","No","Yes","No","No","Month-to-month","Yes","Electronic check",85.4,401.1,"Yes",1
"277","4484-GLZOU","Female",0,"Yes","No",52,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",105.05,5624.85,"Yes",1
"279","8645-KWHJO","Male",0,"No","No",14,"No","No phone service","DSL","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",55,771.95,"No",0
"281","0314-TKOSI","Female",0,"No","No",6,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","No","Mailed check",55.15,322.9,"No",0
"283","2080-SRCDE","Female",0,"No","Yes",1,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",25.4,25.4,"No",0
"285","9512-UIBFX","Male",0,"Yes","Yes",18,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","No","Mailed check",95.15,1779.95,"Yes",1
"286","6202-DYYFX","Female",0,"No","No",22,"Yes","Yes","Fiber optic","No","No","No","No","No","No","One year","Yes","Credit card (automatic)",76,1783.6,"No",0
"287","3808-HFKDE","Female",0,"No","No",20,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",44.35,927.15,"No",0
"288","5583-SXDAG","Male",0,"Yes","No",1,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","No","Electronic check",70,70,"Yes",1
"289","3488-PGMQJ","Male",1,"No","No",8,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",74.5,606.55,"Yes",1
"291","7534-BFESC","Male",1,"No","No",24,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",76.1,1712.7,"Yes",1
"292","3727-OWVYD","Male",0,"No","No",35,"Yes","No","DSL","Yes","Yes","Yes","No","No","No","One year","No","Mailed check",61.2,2021.2,"No",0
"293","2294-SALNE","Male",0,"Yes","Yes",23,"Yes","No","Fiber optic","No","Yes","Yes","Yes","No","No","One year","No","Mailed check",86.8,1940.8,"No",0
"294","4847-TAJYI","Female",1,"No","No",6,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",89.35,567.8,"No",0
"295","1563-IWQEX","Female",0,"No","No",12,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",19.7,220.35,"No",0
"301","0895-LMRSF","Male",0,"No","No",23,"Yes","No","DSL","No","No","No","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",64.9,1509.8,"No",0
"302","8098-LLAZX","Female",1,"No","No",4,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.45,396.1,"Yes",1
"303","8266-VBFQL","Male",0,"No","No",4,"Yes","No","Fiber optic","No","No","Yes","Yes","No","Yes","Month-to-month","Yes","Electronic check",90.4,356.65,"No",0
"304","8181-YHCMF","Female",0,"Yes","Yes",68,"No","No phone service","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",60.3,4109,"No",0
"306","1248-DYXUB","Male",0,"Yes","Yes",52,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",24.8,1229.1,"No",0
"309","3167-SNQPL","Male",1,"Yes","Yes",38,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","No","Electronic check",101.15,3741.85,"No",0
"311","1098-TDVUQ","Female",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Bank transfer (automatic)",19.25,19.25,"No",0
"315","7563-BIUPC","Male",0,"No","No",5,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",80.6,415.55,"Yes",1
"316","5027-YOCXN","Male",0,"Yes","Yes",51,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","One year","No","Credit card (automatic)",110.05,5686.4,"No",0
"317","3973-SKMLN","Male",0,"No","No",71,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Credit card (automatic)",19.9,1355.1,"No",0
"320","6745-JEFZB","Male",0,"Yes","No",35,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","No","Month-to-month","Yes","Credit card (automatic)",91.5,3236.35,"No",0
"321","5020-ZSTTY","Female",1,"No","No",54,"Yes","Yes","DSL","Yes","Yes","No","Yes","Yes","Yes","One year","No","Bank transfer (automatic)",82.45,4350.1,"Yes",1
"322","9880-TDQAC","Female",0,"Yes","Yes",72,"No","No phone service","DSL","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",60,4264,"No",0
"323","8705-WZCYL","Male",0,"No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",44.8,44.8,"No",0
"331","9385-EHGDO","Female",0,"Yes","Yes",35,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Mailed check",19.85,739.35,"No",0
"332","9498-FIMXL","Female",0,"No","No",8,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Mailed check",19.2,161.95,"No",0
"335","2868-SNELZ","Female",0,"No","No",2,"Yes","Yes","Fiber optic","No","No","Yes","No","No","No","Month-to-month","No","Mailed check",80.6,155.8,"Yes",1
"337","6680-NENYN","Female",0,"No","No",43,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Two year","Yes","Electronic check",104.6,4759.85,"Yes",1
"338","2088-IEBAU","Female",0,"No","No",68,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Electronic check",88.15,6148.45,"No",0
"339","7982-VCELR","Female",0,"No","No",36,"Yes","No","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",94.8,3565.65,"No",0
"342","6885-PKOAM","Female",0,"Yes","No",71,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",85.75,6223.8,"No",0
"344","9639-BUJXT","Male",0,"No","No",63,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",20.5,1328.15,"No",0
"347","2034-GDRCN","Female",0,"No","No",2,"Yes","No","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",90.4,168.2,"Yes",1
"349","6243-OZGFH","Female",0,"No","No",23,"No","No phone service","DSL","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",44.95,996.85,"No",0
"352","5160-UXJED","Male",0,"No","Yes",17,"Yes","No","DSL","No","No","No","No","No","No","One year","No","Mailed check",44.6,681.4,"No",0
"354","0219-YTZUE","Male",0,"Yes","Yes",4,"Yes","Yes","Fiber optic","No","Yes","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",84.8,371.9,"Yes",1
"355","0623-IIHUG","Female",1,"No","No",21,"No","No phone service","DSL","Yes","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",41.9,840.1,"Yes",1
"356","4572-DVCGN","Female",0,"No","No",10,"Yes","No","Fiber optic","No","No","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",80.25,846,"Yes",1
"359","9057-MSWCO","Male",1,"Yes","No",27,"No","No phone service","DSL","Yes","No","No","No","No","No","Month-to-month","No","Credit card (automatic)",30.75,805.1,"Yes",1
"360","9833-TGFHX","Male",0,"Yes","Yes",42,"Yes","Yes","Fiber optic","Yes","No","No","No","Yes","Yes","One year","No","Electronic check",97.1,4016.75,"No",0
"361","9294-TDIPC","Male",0,"No","Yes",5,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",20.2,83.75,"No",0
"362","5229-DTFYB","Female",0,"No","No",41,"Yes","No","Fiber optic","No","Yes","No","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",98.8,3959.15,"No",0
"363","0104-PPXDV","Male",0,"Yes","No",58,"Yes","No","DSL","No","No","Yes","No","No","No","One year","No","Credit card (automatic)",50.3,2878.55,"No",0
"364","5176-LMJXE","Female",0,"No","No",47,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Mailed check",20.55,945.7,"No",0
"365","3583-KRKMD","Male",0,"No","No",18,"Yes","No","Fiber optic","No","No","No","Yes","No","No","Month-to-month","Yes","Bank transfer (automatic)",75.9,1373.05,"No",0
"367","9069-LGEUL","Male",0,"Yes","No",23,"Yes","No","DSL","Yes","No","No","No","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",59.95,1406,"No",0
"368","7302-ZHMHP","Female",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",19.15,19.15,"No",0
"369","9571-EDEBV","Male",0,"Yes","No",71,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",98.65,6962.85,"No",0
"371","6563-VRERX","Male",0,"Yes","Yes",33,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",20.6,690.25,"No",0
"374","2805-EDJPQ","Female",0,"Yes","Yes",56,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","No","Yes","One year","Yes","Credit card (automatic)",99.75,5608.4,"No",0
"376","7156-MXBJE","Female",0,"No","No",43,"Yes","Yes","DSL","No","Yes","Yes","Yes","Yes","Yes","One year","No","Credit card (automatic)",85.1,3662.25,"No",0
"377","6158-HDPXZ","Male",0,"No","No",1,"No","No phone service","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",25.35,25.35,"No",0
"378","9601-BRXPO","Female",0,"Yes","No",25,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",104.95,2566.5,"Yes",1
"379","2863-IMQDR","Female",0,"No","No",61,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Electronic check",89.65,5308.7,"No",0
"380","5686-CMAWK","Male",0,"No","No",17,"Yes","Yes","Fiber optic","No","No","Yes","Yes","No","No","One year","No","Electronic check",86.75,1410.25,"No",0
"384","5167-ZFFMM","Male",0,"No","No",1,"Yes","Yes","Fiber optic","No","Yes","No","No","No","Yes","Month-to-month","Yes","Credit card (automatic)",90.85,90.85,"Yes",1
"386","4895-TMWIR","Male",1,"Yes","No",11,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",19.95,214.75,"Yes",1
"389","8782-LKFPK","Male",0,"No","No",44,"Yes","Yes","Fiber optic","No","No","Yes","No","No","Yes","Month-to-month","Yes","Mailed check",90.4,4063,"No",0
"391","3597-MVHJT","Female",0,"No","No",27,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",95.6,2595.25,"No",0
"393","0224-RLWWD","Female",1,"No","No",2,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",44.3,89.3,"No",0
"394","9967-ATRFS","Female",0,"No","No",19,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Mailed check",19.9,367.55,"No",0
"395","3951-NJCVI","Female",1,"Yes","No",42,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",95.05,3944.5,"No",0
"396","2977-CEBSX","Female",0,"No","No",66,"Yes","Yes","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",90.05,5965.95,"No",0
"398","6599-CEBNN","Female",0,"No","No",34,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Credit card (automatic)",73.95,2524.45,"Yes",1
"399","2519-ERQOJ","Male",1,"No","No",33,"No","No phone service","DSL","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",54.6,1803.7,"No",0
"400","5876-QMYLD","Female",0,"Yes","Yes",23,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",20.05,415.1,"No",0
"402","9442-JTWDL","Female",0,"No","No",11,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Credit card (automatic)",20.05,237.7,"No",0
"403","0979-PHULV","Male",0,"Yes","Yes",69,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",99.45,7007.6,"Yes",1
"404","3067-SVMTC","Female",0,"Yes","No",68,"Yes","No","DSL","Yes","No","No","Yes","No","No","One year","No","Bank transfer (automatic)",55.9,3848.8,"No",0
"405","5495-GPSRW","Male",0,"No","No",20,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Mailed check",19.7,419.4,"No",0
"411","0334-GDDSO","Male",1,"No","No",3,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",81.35,233.7,"Yes",1
"413","5233-AOZUF","Female",0,"Yes","No",29,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.95,2149.05,"No",0
"414","5973-EJGDP","Male",0,"No","No",51,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","No","No","Month-to-month","Yes","Electronic check",87.35,4473,"No",0
"416","7916-VCCPB","Female",0,"Yes","Yes",16,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",73.25,1195.75,"No",0
"417","4686-GEFRM","Male",0,"Yes","No",70,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","No","Yes","Two year","Yes","Bank transfer (automatic)",98.7,6858.9,"No",0
"418","5249-QYHEX","Female",0,"Yes","Yes",40,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Mailed check",24.8,1024.7,"No",0
"423","7663-ZTEGJ","Male",0,"No","Yes",29,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","No","Yes","One year","No","Credit card (automatic)",100.55,2830.45,"No",0
"424","3935-TBRZZ","Male",0,"Yes","Yes",44,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Mailed check",25.7,1110.5,"No",0
"426","2055-SIFSS","Female",1,"Yes","No",55,"Yes","Yes","DSL","No","No","No","No","No","No","Month-to-month","No","Bank transfer (automatic)",51.65,2838.55,"No",0
"427","2806-MLNTI","Male",1,"Yes","No",52,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",105.1,5376.4,"No",0
"428","8734-DKSTZ","Female",0,"Yes","Yes",10,"Yes","Yes","Fiber optic","No","No","No","No","No","Yes","Month-to-month","No","Electronic check",85.95,858.6,"No",0
"431","9063-ZGTUY","Female",0,"Yes","Yes",61,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Mailed check",19.4,1182.55,"Yes",1
"432","7781-HVGMK","Female",0,"Yes","Yes",72,"No","No phone service","DSL","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",65.2,4784.45,"No",0
"433","2181-UAESM","Male",0,"No","No",2,"Yes","No","DSL","Yes","No","Yes","No","No","No","Month-to-month","No","Electronic check",53.45,119.5,"No",0
"436","2320-SLKMB","Female",0,"No","No",26,"No","No phone service","DSL","No","No","Yes","Yes","Yes","No","Month-to-month","Yes","Credit card (automatic)",44.45,1183.8,"No",0
"438","4376-KFVRS","Male",0,"Yes","Yes",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",114.05,8468.2,"No",0
"439","5886-VLQVU","Male",0,"Yes","No",35,"Yes","Yes","Fiber optic","No","No","No","Yes","No","Yes","Month-to-month","Yes","Bank transfer (automatic)",89.85,3161.2,"No",0
